Version	Id	Symbol	Flags	Name	Prefix
1	0	AR_NONE	NONE	none	
1	1	AR_LOTHORIL	NONE	Lothoril	
1	2	AR_GLOOM	NONE	Gloom	
1	3	AR_MOON	NONE	Moon	
1	4	AR_MIRROW	NONE	Mirrow	
1	5	AR_GLORIM	NONE	Glorim	
1	6	AR_KORKITH	NONE	Korkith	
1	7	AR_LOST	NONE	Lost	the
1	8	AR_DEAD	NONE	Dead	
1	9	AR_WEIRD	NONE	Weird	
1	10	AR_UGRAK	NONE	Ugrak	
1	11	AR_DEATH	NONE	Death	
1	12	AR_DOOM	NONE	Doom	
1	13	AR_DESPAIR	NONE	Despair	
1	14	AR_VORGATH	NONE	Vorgath	
1	15	AR_USHGARAK	NONE	Ushgarak	
1	16	AR_UGRORN	NONE	Ugrorn	
1	17	AR_KOR	NONE	Kor	
1	18	AR_TOOMOG	NONE	Toomog	
1	19	AR_OGRIM	NONE	Ogrim	
1	20	AR_DODRAK	NONE	Dodrak	
1	21	AR_GORGRATH	NONE	Gorgrath	
1	22	AR_VALETHOR	NONE	Valethor	
1	23	AR_COROTH	NONE	Coroth	
1	24	AR_ASHIMAR	NONE	Ashimar	
1	25	AR_ITHRIL	NONE	Ithril	
1	26	AR_SHADOWS	NONE	Shadows	
1	27	AR_BLOOD	NONE	Blood	
1	28	AR_THRALL	NONE	Thrall	
1	29	AR_TORKREN	NONE	Torkren	
1	30	AR_GARD	NONE	Gard	
1	31	AR_MITHARG	NONE	Mitharg	
1	32	AR_MOON2	NONE	Moon	the
1	33	AR_ISERATH	NONE	Iserath	
1	34	AR_SHIMERIL	NONE	Shimeril	
1	35	AR_ODRARK	NONE	Odrark	
1	36	AR_ISHMALAY	NONE	Ishmalay	
1	37	AR_BRITH	NONE	Brith	
1	38	AR_SILENCE	NONE	Silence	
1	39	AR_ELENIL	NONE	Elenil	
1	40	AR_RORATH	NONE	Rorath	
1	41	AR_MORNING	NONE	Morning	
1	42	AR_THIMRATH	NONE	Thimrath	
1	43	AR_CORELAY	NONE	Corelay	
1	44	AR_RATHRORN	NONE	Rathrorn	
1	45	AR_LORGRIM	NONE	Lorgrim	
1	46	AR_LOR	NONE	Lor	
1	47	AR_FADRATH	NONE	Fadrath	
1	48	AR_DROON	NONE	Droon	
1	49	AR_GRARG	NONE	Grarg	
1	50	AR_DREAMS	NONE	Dreams	
1	51	AR_ITHRORN	NONE	Ithrorn	
1	52	AR_WHISPERS	NONE	Whispers	
1	53	AR_XAJORKITH	NONE	Xajorkith	
1	54	AR_HERATH	NONE	Herath	
1	55	AR_KUMAR	NONE	Kumar	
1	56	AR_MARAKITH	NONE	Marakith	
1	57	AR_TARG	NONE	Targ	the
1	58	AR_UTARG	NONE	Utarg	
1	59	AR_ATHORIL	NONE	Athoril	
1	60	AR_DREGRIM	NONE	Dregrim	
1	61	AR_DAWN	NONE	Dawn	
1	62	AR_TRORN	NONE	Trorn	
1	63	AR_COOM	NONE	Coom	
